代码,上市公司,行业,市值(元),PE-TTM,PB,股息率,财报日期,复合排名,资本收益率(ROC),资本回报率排名,公司收益率,公司收益率排名,关注度
="000928",中钢国际,国际工程承包,=9411268713.76,=11.046835908500555,=1.0971105962063543,=0.04557926829268292,2025-05-19,=1,=-0.1265833268225691,=12,=0.5043837772731709,=11,=384
="600284",浦东建设,路桥施工,=6956735520,=12.284297159372807,=0.8844932743764449,=0.037238493723849374,2025-05-19,=2,=-0.14975669242263326,=15,=0.5068731703620425,=10,=231
="600662",外服控股,互联网信息服务,=11531657249.25,=10.449018819432519,=2.1850073049587677,=0.047524752475247525,2025-05-19,=3,=-0.3379532157131834,=33,=0.44717393829454793,=13,=187
="000951",中国重汽,商用载货车,=20160758217.6,=13.29874347946265,=1.2895118665051848,=0.040356641222189904,2025-05-19,=4,=-0.28465868593765037,=28,=0.31608104764755196,=24,=978
="000921",海信家电,冰箱,=40277462369.299995,=11.52750653386063,=2.4315156075112987,=0.042326221610461116,2025-05-19,=5,=-0.3452784684419985,=34,=0.3207166134648641,=22,=13394
="600875",东方电气,综合电力设备商,=54923837281.2,=17.32518441688112,=1.2455206315790364,=0.022874444746799213,2025-05-19,=6,=-0.2767831976522296,=26,=0.2177628956802387,=43,=626
="002116",中国海诚,其他基础建设,=4791058332.24,=14.712614854006759,=1.8463300790235684,=0.03009523346303502,2025-05-19,=7,=-0.2653800064210133,=25,=0.19990661836028054,=48,=252
="000651",格力电器,空调,=256040256421.11002,=7.662693957072132,=1.860740976530886,=0.06544055398633224,2025-05-19,=8,=-0.5621473221144567,=50,=0.26227320544985,=32,=57609
="603929",亚翔集成,其他专业工程,=6078626400,=10.113140118115727,=3.170982671326342,=0.0351000351000351,2025-05-19,=9,=-0.599044969452079,=52,=0.25748194433110794,=33,=210
="000719",中原传媒,平面媒体,=12790046862.5,=11.553687356197656,=1.1024729161821774,=0.048,2025-05-19,=10,=-1.1446041906256348,=68,=0.2980394373586989,=26,=830
="000550",江铃汽车,商用载货车,=17341969260,=12.74421447223788,=1.4953227518246814,=0.03544051767048283,2025-05-19,=11,=-0.365980146173322,=37,=0.1863283852337082,=59,=689
="002668",TCL智家,冰箱,=11404852222.56,=10.407729802320802,=4.187794222150548,=0,2025-05-19,=12,=-1.4748229627325637,=77,=0.2835035391717632,=28,=297
="600373",中文传媒,移动互联网服务,=14591933331.220001,=22.251021266187465,=0.8094254699727348,=0.03845213036983417,2025-05-19,=13,=-2.903881393080477,=94,=0.4166424730783915,=14,=1015
="601098",中南传媒,平面媒体,=25718720000,=17.670817867692392,=1.612447146725714,=0.03840782122905028,2025-05-19,=14,=-0.6890660861455131,=56,=0.19221275586688824,=52,=1099
="600820",隧道股份,城轨建设,=19116104251.52,=7.009342672239782,=0.6196649015451964,=0.05263157892644365,2025-05-19,=15,=-1.231876775212253,=71,=0.2307005414052082,=39,=914
="600861",北京人力,互联网信息服务,=11639277482.08,=9.935277535246069,=1.6339594905289094,=0.03399805447470817,2025-05-19,=16,=-3.914670490415288,=104,=0.45530856349341176,=12,=123
="300724",捷佳伟创,其它专用机械,=18912141942.54,=6.53659737920033,=1.6030647116500842,=0.022009672117768348,2025-05-19,=17,=-4.096309559345528,=106,=0.40254371128594946,=15,=826
="601117",中国化学,化学工程,=48258930359.8,=8.15693830503056,=0.7561822841523504,=0.023545634270388523,2025-05-19,=18,=10.363105710823142,=130,=0.6466060957706374,=5,=908
="000404",长虹华意,家电零部件,=5039010887.96,=10.706420661570125,=1.195079705584547,=0.04143646408839779,2025-05-19,=19,=-3.7571374328601217,=103,=0.24358646733954817,=36,=200
="605166",聚合顺,其他纤维,=4151237865.74,=13.353765812501281,=2.1491334978204804,=0.010110499148310846,2025-05-19,=20,=-0.42899896994391973,=40,=0.14478813070563207,=104,=146
="600757",长江传媒,平面媒体,=11602496609.880001,=10.700199188824234,=1.1683165571159533,=0.04288702928870292,2025-05-19,=21,=6.430121425079337,=137,=0.32611328671289896,=20,=584
="002035",华帝股份,小家电,=5569084270.26,=11.927330307503876,=1.4332050258496567,=0.044768423083739795,2025-05-19,=22,=-5.364413074748246,=111,=0.2021901942825654,=47,=1389
="002217",*ST合泰,显示器件,=16230295673.76,=8.500202429581012,=8.726001891626186,=0,2025-05-19,=23,=-44.19504715639934,=117,=0.18879390848747998,=57,=512
="601921",浙版传媒,平面媒体,=18177777784.14,=16.03590749832066,=1.3117646805330712,=0.03667481662591687,2025-05-19,=24,=20.713636791399324,=127,=0.1964506930332029,=51,=118
="603303",得邦照明,LED,=5904573838.5,=17.650642813156765,=1.6288375304387466,=0.05977382875605816,2025-05-19,=25,=-0.780818484506612,=59,=0.13574758583684848,=126,=226
="600517",国网英大,多元金融,=28134703860.48,=15.965344801276567,=1.2740437600884091,=0.016869918706011306,2025-05-19,=26,=6.250415155762425,=138,=0.1918704917677021,=53,=300
="601369",陕鼓动力,冶金矿采化工设备,=14960943616.11,=14.185548350700733,=1.6407336989333152,=0.05190311419086166,2025-05-19,=27,=-10.13058913742809,=113,=0.16387952327914762,=79,=329
="600938",中国海油,石油开采,=1192526545458.56,=8.847948845960529,=1.5214213209324543,=0.051538379622888285,2025-05-19,=28,=7.991914847865821,=135,=0.18515958455161272,=63,=1095
="600170",上海建工,房屋建设,=21326255385.6,=12.560021648209617,=0.6888739512560298,=0.025,2025-05-19,=29,=2.1773365583374793,=176,=0.2539048095610528,=34,=784
="601811",新华文轩,平面媒体,=18877767300,=11.810169124394742,=1.274413600894734,=0.0392156862745098,2025-05-19,=30,=4.201956495495678,=144,=0.18414794645516727,=66,=473
="600710",苏美达,贸易,=12505592083.380001,=10.638128135119748,=1.600062813378185,=0.03855799373040752,2025-05-19,=31,=1.2324522917104777,=214,=0.5344761999210158,=8,=328
="000915",华特达因,化学制剂,=7013541346.05,=13.250453923944018,=2.266821970367197,=0.08352823261389006,2025-05-19,=32,=1.6767416939478075,=192,=0.23574749394557218,=37,=1064
="002432",九安医疗,医疗器械,=18532754344.579998,=10.981847495258984,=0.8651311974037031,=0.005294956819448625,2025-05-19,=33,=3.3041153156101566,=154,=0.1677248839355448,=75,=491
="603325",博隆技术,重型机械,=6104971900,=16.3600847264952,=2.4143533024048414,=0.014742819700775364,2025-05-19,=34,=-0.5545380797571694,=49,=0.1203872934890807,=185,=32
="000913",钱江摩托,其他交运设备,=8578493190,=13.754595036092985,=1.7573588598742746,=0.04788479408934519,2025-05-19,=35,=-1.310610197528246,=73,=0.12488453806599037,=164,=253
="605098",行动教育,综合,=4413483211,=16.175939100126612,=4.459590700734954,=0.06052871671386086,2025-05-19,=36,=-0.3344657770133792,=32,=0.11608642540397124,=205,=152
="002563",森马服饰,休闲服装,=15491018420,=15.408972115254558,=1.3940779219666772,=0.06086956521739131,2025-05-19,=37,=2.448776197573777,=171,=0.18308860897906903,=68,=1028
="600742",一汽富维,汽车零部件,=7408287063.6,=14.421795221811045,=0.864578760014519,=0.03510531594784353,2025-05-19,=38,=1.0211937718249702,=246,=2.2767443797069906,=1,=474
="002543",万和电气,小家电,=8543964000,=12.734533870276644,=1.7307174932049971,=0.03806693074081305,2025-05-19,=39,=-3.6660679078688396,=101,=0.1284187580991427,=149,=558
="300641",正丹股份,其他化学制品,=12597936915.3,=8.291272562731862,=3.950805184055632,=0.02937168387870027,2025-05-19,=40,=1.7860711838543155,=185,=0.161190461586091,=80,=123
="002546",新联电子,计量仪表,=4103521552.32,=10.50368715831968,=1.2352862960960318,=0.024390244019411724,2025-05-19,=41,=1.0089811037609357,=250,=0.3626193349468868,=16,=115
="603599",广信股份,农药,=9949243940.85,=13.923588075796784,=1.0080322218313724,=0.024702653247941447,2025-05-19,=42,=1.0159545057469996,=247,=0.3236516174200213,=21,=458
="000333",美的集团,空调,=593949057403.1399,=14.155306453829972,=2.5843617708570985,=0.045114720288734214,2025-05-19,=43,=-0.41406105557078376,=39,=0.11044790849295998,=239,=27871
="603230",内蒙新华,平面媒体,=4602869460,=12.624319018255086,=1.5838175529172047,=0.03686635944700461,2025-05-19,=44,=1.412557761458933,=201,=0.1572143920149244,=85,=72
="002508",老板电器,小家电,=18876747676.68,=12.427056722482261,=1.637647265525364,=0.0500368565696759,2025-05-19,=45,=1.7673181715920627,=186,=0.14629504461924134,=101,=41117
="300533",冰川网络,移动互联网服务,=5569390154.099999,=14.387297432020963,=3.8237372394224174,=0,2025-05-19,=46,=-0.5394320814213936,=45,=0.10811101447135238,=253,=187
="000338",潍柴动力,汽车零部件,=129776345597.44,=11.270989022302617,=1.4503296065625877,=0.04832196491600626,2025-05-19,=47,=1.3171037281352702,=204,=0.14977965025871165,=96,=3750
="600566",济川药业,中药,=25079570193.600002,=11.793140703194798,=1.6563172513997562,=0.07680999632488054,2025-05-19,=48,=1.1096424864916312,=230,=0.17779932940775944,=71,=15192
="002367",康力电梯,楼宇设备,=5639430480.219999,=15.137492673398121,=1.563789594808414,=0.042437554260029424,2025-05-19,=49,=1.3057691342287365,=206,=0.1447971908127498,=103,=479
="000858",五粮液,白酒,=501891915046.50006,=15.363271112689562,=3.387829891671646,=0.04443155452460104,2025-05-19,=50,=-3.421555860699205,=100,=0.1153207877160356,=211,=14636
="603886",元祖股份,食品综合,=3408000000,=14.681158831425249,=2.0917417299970937,=0.07042253521126761,2025-05-19,=51,=1.6422661016297608,=195,=0.13639335611511647,=121,=3398
="603515",欧普照明,LED,=13584064720.45,=14.713351464112954,=1.9777390720194807,=0.04937422423277306,2025-05-19,=52,=2.9665858424449802,=159,=0.125893153587419,=159,=2556
="603031",安孚科技,储能设备,=5784688000,=33.120223592175016,=3.0332876313797756,=0.008759124087591242,2025-05-19,=53,=1.8527022583076693,=183,=0.13290119368876283,=137,=106
="002091",江苏国泰,贸易,=12174642427.640001,=10.725433179571946,=0.7849670523417133,=0.05347583662267795,2025-05-19,=54,=0.7139157080889638,=320,=0.5846516805796597,=6,=712
="002056",横店东磁,光伏设备,=22448626621.2,=11.621840756141165,=2.1344509951386135,=0.03225624622880794,2025-05-19,=55,=1.1778680000069577,=222,=0.14306627525573756,=109,=977
="600066",宇通客车,商用载客车,=53953698864.51,=12.803008757477958,=4.513216974931825,=0.06155108741181131,2025-05-19,=56,=-12.629478748803587,=114,=0.11439278223061485,=217,=3213
="603393",新天然气,燃气,=12191977364.52,=9.906232963236313,=1.4293370504991159,=0,2025-05-19,=57,=1.2661951153012834,=212,=0.1359134035519609,=123,=692
="600132",重庆啤酒,啤酒,=27712190797.48,=24.4087896808895,=16.720994438408187,=0.041914076143905,2025-05-19,=58,=-2.309568545593052,=88,=0.10771279846213008,=256,=3258
="000625",长安汽车,乘用车,=122637244562.2,=16.31681767765917,=1.5691834598847019,=0.023848019401778494,2025-05-19,=59,=-0.8305276077850219,=62,=0.10296544700020838,=282,=3353
="300770",新媒股份,互联网信息服务,=9050670905.5,=13.493968032129807,=2.415606751597282,=0.07258524453041168,2025-05-19,=60,=252.27609083171103,=121,=0.1128985131460243,=226,=908
="000596",古井贡酒,白酒,=83360220000,=14.41904361182661,=3.1502713596774634,=0.03804692454026633,2025-05-19,=61,=57.2567402621822,=124,=0.11322252475860864,=224,=55162
="001914",招商积余,房地产开发,=12140962387,=13.967800142606377,=1.1413555550194388,=0.020941013924253085,2025-05-19,=62,=2.336568912027496,=172,=0.12118065317038024,=180,=394
="002555",三七互娱,互联网信息服务,=33205687591.81,=12.741768297925278,=2.4701769116456402,=0.06632392215703412,2025-05-19,=63,=-6.900501501897613,=112,=0.10890425611502058,=251,=4230
="300360",炬华科技,计量仪表,=8175575303.400001,=11.238489077436373,=1.9827627052831174,=0.03773584903214066,2025-05-19,=64,=0.9644508602758545,=253,=0.14226748175458584,=111,=1099
="600329",达仁堂,中药,=24134757117.04,=10.88987868202923,=2.936914337836679,=0.04084576399503056,2025-05-19,=65,=1.1035547383215019,=231,=0.13325313070431022,=135,=975
="300274",阳光电源,光伏设备,=133618476276.8,=10.466646487464866,=3.2764377351818705,=0.01654609712282634,2025-05-19,=66,=0.9488733065274828,=257,=0.13910700044917543,=113,=2697
="601928",凤凰传媒,平面媒体,=30335208000,=17.353012603483574,=1.5028515325110938,=0.04194630872483222,2025-05-19,=67,=3.292186834489729,=155,=0.11395169076757142,=220,=771
="002483",润邦股份,重型机械,=5513833528.86,=11.192351337687436,=1.2345638064017863,=0.04823151125401929,2025-05-19,=68,=0.652502356141269,=354,=0.31769045546815294,=23,=138
="600582",天地科技,冶金矿采化工设备,=25742022908.239998,=7.647664882092497,=0.994661127849341,=0.05096463022508039,2025-05-19,=69,=0.6759954085205446,=342,=0.24460470868408712,=35,=592
="688349",三一重能,风电设备,=28857291178.95,=21.297648314442135,=2.124288050387454,=0.0254993625159371,2025-05-19,=70,=-0.9559528776994607,=63,=0.09724250290242983,=324,=78
="600827",百联股份,多业态零售,=16771180299.800001,=10.698603093225517,=0.8439618674124247,=0.028191489361702127,2025-05-19,=71,=0.6315842212005657,=370,=0.31439902202827036,=25,=338
="600211",西藏药业,生物制品,=11642169359.519999,=11.553788148709765,=3.0111259808526802,=0.054180509449830466,2025-05-19,=72,=1.3524834750800478,=202,=0.11604480588832354,=207,=744
="002043",兔 宝 宝,其他建材,=8561886317.669999,=14.321147738697544,=2.7161399644942876,=0.05796129426944434,2025-05-19,=73,=2.317076091114917,=173,=0.11009026464586967,=241,=1020
="600609",金杯汽车,汽车零部件,=7227254411.32,=18.796115551371297,=4.912302458141429,=0,2025-05-19,=74,=-2.1076891964481073,=86,=0.09698942766846982,=329,=165
="601900",南方传媒,平面媒体,=15328448044.26,=15.677814083795974,=1.7839792135062913,=0.032144944476914086,2025-05-19,=75,=-1.2253641872080054,=70,=0.09481873502552177,=345,=354
="688606",奥泰生物,医疗器械,=4943954117.8,=15.50317980506452,=1.2522848325610338,=0.04758495505712478,2025-05-19,=76,=0.7227285037427142,=314,=0.14391343239503937,=105,=192
="002818",富森美,专业市场,=9640151147.2,=14.812434924665684,=1.7684909534211424,=0.08385093165627207,2025-05-19,=77,=32.76584069218951,=126,=0.10117606404446486,=295,=1081
="000848",承德露露,软饮料,=11125496562.18,=17.510483321580953,=3.0623554626005336,=0.028382213812677387,2025-05-19,=78,=-14.336680586824187,=115,=0.09953042881357693,=307,=42554
="601958",金钼股份,其他稀有小金属,=32298310044,=10.668928485540855,=1.8229168882078095,=0.03996003996003996,2025-05-19,=79,=0.6865011524442693,=333,=0.1531195715670185,=91,=402
="002884",凌霄泵业,其它通用机械,=5597731265.85,=12.380549942982707,=2.7103481346837284,=0.06389776357827476,2025-05-19,=80,=0.7820734749455892,=291,=0.13216747523426864,=140,=1708
="002140",东华科技,化学工程,=6719051645.28,=16.42053686189246,=1.5002558054431745,=0.015806111696522657,2025-05-19,=81,=-0.22331066294283985,=20,=0.08812717512645285,=414,=179
="603529",爱玛科技,其他交运设备,=34658217600.44,=16.430950910902865,=3.7645282806587765,=0.02296644480568714,2025-05-19,=82,=-0.34540885020921863,=35,=0.08950816070366764,=403,=320
="603281",江瀚新材,其他化学制品,=8870400015.84,=16.293335196114526,=1.7579320113386703,=0.04208754208754209,2025-05-19,=83,=0.9189906843175037,=262,=0.12155960027629174,=177,=83
="002832",比音勒芬,其他服装,=9365303248.44,=12.486414062703334,=1.7302461197386094,=0.030469226081657523,2025-05-19,=84,=0.780508042798964,=292,=0.12796756308276566,=152,=1045
="300441",鲍斯股份,其它通用机械,=5355095863.08,=6.552203410376118,=2.2734169549499157,=0.05415162443669365,2025-05-19,=85,=0.5866642312986208,=406,=0.22374188578523613,=41,=144
="600741",华域汽车,汽车零部件,=58640666102.4,=8.754669105234727,=0.9249333262914425,=0.043010752688172046,2025-05-19,=86,=0.6025719342735595,=389,=0.18870046285068096,=58,=6802
="603556",海兴电力,仪器仪表,=13075643531.300001,=14.071889820293453,=1.8009143934993574,=0.026161529042998465,2025-05-19,=87,=0.8447506861322127,=276,=0.12289874661061109,=172,=343
="600507",方大特钢,特钢,=10178026716,=25.145068458875027,=1.0657548181173209,=0.007500000000000001,2025-05-19,=88,=0.6261679105395411,=376,=0.16813442993831784,=74,=2040
="300384",三联虹普,化学工程,=5582627137.5,=17.466681612632748,=2.087027516890014,=0.028799999953426948,2025-05-19,=89,=-3.3497762920708056,=98,=0.0938260036495307,=353,=221
="603613",国联股份,互联网信息服务,=17192032218.18,=12.178244172394528,=2.1243767618642186,=0.002766135792120704,2025-05-19,=90,=0.6346527812432977,=368,=0.1572697813090065,=84,=965
="601789",宁波建工,房屋建设,=5933920301.4,=19.81355779833677,=1.3019225181763565,=0.018315018315018316,2025-05-19,=91,=0.6807003731272573,=337,=0.13886105870727208,=115,=188
="000568",泸州老窖,白酒,=181020595838.94,=13.417065897869612,=3.6084862172558227,=0.04838787134238222,2025-05-19,=92,=1.0624256859663952,=236,=0.11462006596746678,=216,=8703
="600060",海信视像,彩电,=31254085483.3,=13.396152944990032,=1.5452290190492664,=0.03674321503131524,2025-05-19,=93,=0.6474137896147393,=356,=0.1387094395453763,=116,=648
="002355",兴民智通,汽车零部件,=4350198504,=14.186299431983663,=3.1495072982486505,=0,2025-05-19,=94,=0.7914554837689848,=286,=0.1187754104176027,=190,=142
="600551",时代出版,平面媒体,=5302391968.9800005,=13.336699059865172,=0.9070868930464089,=0.05115089515952437,2025-05-19,=95,=0.5248381438992269,=450,=0.2687897162988121,=30,=206
="688581",安杰思,医疗器械,=4928369402.84,=16.601617109546062,=2.0082210140307906,=0.022674991784423264,2025-05-19,=96,=1.880516874883614,=181,=0.09999754781301284,=303,=72
="603619",中曼石油,油气钻采服务,=7910611067.71,=10.09619989235602,=1.8607762521939792,=0.04239262547856231,2025-05-19,=97,=0.675829271400666,=343,=0.12817752757210993,=151,=150
="002705",新宝股份,小家电,=11958930239.4,=10.610399574399032,=1.4251221271393943,=0.030310703277267922,2025-05-19,=98,=0.5746141886875998,=415,=0.15613603849647428,=87,=1223
="603369",今世缘,白酒,=57552289707.92,=16.33432857202682,=3.3660008363927223,=0.025996533795493933,2025-05-19,=99,=6.561107958017289,=136,=0.09179898068051266,=372,=36800
="603391",力聚热能,冶金矿采化工设备,=3374280000,=13.339125897154236,=1.640126711701985,=0.0337108953613808,2025-05-19,=100,=0.7911439431441185,=287,=0.11341898116651476,=223,=20
="601225",陕西煤业,煤炭开采,=195839000000,=8.69905891637825,=2.029874658578094,=0.06673989859016845,2025-05-19,=101,=0.5075899668331922,=465,=0.20282542357683833,=46,=4067
="601949",中国出版,平面媒体,=12318673309.38,=19.85605295022326,=1.287124915124587,=0.015765069551777436,2025-05-19,=102,=1.2172532616451248,=219,=0.10124387693448209,=293,=219
="601163",三角轮胎,轮胎,=11176000000,=11.466838469511137,=0.8210917588192516,=0.03793843951324266,2025-05-19,=103,=0.46222208323556385,=512,=0.8644200714413042,=2,=310
="002011",盾安环境,家电零部件,=12348405349.38,=11.71637724745613,=2.157343634537456,=0,2025-05-19,=104,=0.7973950710762774,=284,=0.11100350322780385,=234,=301
="601801",皖新传媒,平面媒体,=13255194474.49,=16.61739518244097,=1.1192128312822547,=0.029542097511554354,2025-05-19,=105,=0.5572636640311297,=427,=0.1523737994323183,=92,=346
="601919",中远海控,航运,=254204380255.98004,=4.704001129092039,=1.0412477209142852,=0.0973201371378337,2025-05-19,=106,=0.47392758361160214,=504,=0.3604745426844788,=17,=2395
="834599",同力股份,工程机械,=10330914500,=11.982055934636914,=3.547011832592244,=0.030663421519943855,2025-05-19,=107,=0.7114670897715258,=321,=0.11623016320005478,=203,=90
="600007",中国国贸,房地产开发,=21747229909.06,=17.57594454196798,=2.1824539409317962,=0.05094951366373321,2025-05-19,=108,=8.779727559102492,=132,=0.09011629967152894,=394,=521
="600121",郑州煤电,煤炭开采,=4715254587.06,=24.996470662720164,=2.5802136377713203,=0,2025-05-19,=109,=1.4845110939793043,=197,=0.09677408919042976,=331,=212
="600720",中交设计,房屋建设,=18907467455.600002,=10.78493156554565,=1.249996873058767,=0.02779126213592233,2025-05-19,=110,=0.5103620568420084,=463,=0.17750365394924464,=72,=928
="603173",福斯达,冶金矿采化工设备,=5286400000,=16.984652045238665,=3.0335704405517476,=0.01513317191283293,2025-05-19,=111,=12.706156134072128,=128,=0.08899305370105987,=410,=53
="601001",晋控煤业,煤炭开采,=19665975000,=7.742514314278937,=1.02779000606507,=0.06425531914893617,2025-05-19,=112,=0.4557786320481987,=521,=0.3334102476352742,=18,=497
="600278",东方创业,贸易,=6666292401.2,=31.50757423418495,=0.8862527045684684,=0.02198242902030836,2025-05-19,=113,=1.8576507957252346,=182,=0.09330748311146492,=357,=113
="300002",神州泰岳,IT服务,=21019070657.34,=15.327362766493296,=2.895370632630005,=0.009337068160597572,2025-05-19,=114,=2.686246284217422,=167,=0.09178919629280662,=373,=412
="601126",四方股份,电网自动化,=14157223319.999998,=18.24319438266203,=2.9312937516164577,=0.04237786933490289,2025-05-19,=115,=-3.2876579976200144,=97,=0.08496667965430907,=451,=453
="601717",郑煤机,汽车零部件,=27852238908,=6.997226338294813,=1.2406275832913805,=0.0717948717948718,2025-05-19,=116,=0.47164809825886816,=506,=0.21700789621214078,=44,=633
="002249",大洋电机,电机,=16810332897.09,=17.444611070654805,=1.752273197331149,=0.02736035099873713,2025-05-19,=117,=1.252993322540378,=213,=0.09603061894656176,=337,=406
="000650",仁和药业,中药,=7713659669.34,=16.44974662890283,=1.21627541368037,=0.02722323049001815,2025-05-19,=118,=0.5069868250666646,=466,=0.15604237487845052,=88,=993
="301327",华宝新能,储能设备,=8903232000,=30.118124074527366,=1.4150057427750486,=0.01995064372690726,2025-05-19,=119,=0.7671323027166067,=297,=0.10741805271512354,=257,=50
="603551",奥普科技,小家电,=4164159560,=14.065703429663689,=2.865373554369239,=0.08062333711343184,2025-05-19,=120,=1.0092122160315646,=249,=0.09980751077953783,=305,=246
="603198",迎驾贡酒,白酒,=34512000000,=13.778155197240746,=3.233736767940362,=0.03477051460361613,2025-05-19,=121,=0.7468837804816113,=305,=0.10891401341875988,=250,=7160
="603871",嘉友国际,物流,=14256604522.78,=11.580837778997246,=2.435785515502576,=0.04791348730397415,2025-05-19,=122,=0.7050059499131491,=323,=0.11095189327749522,=235,=1120
="603129",春风动力,其他交运设备,=27918660775.739998,=17.347106466390546,=4.142356638875097,=0.02088254437535953,2025-05-19,=123,=-1.7326260213251083,=81,=0.08091202344519882,=485,=897
="603444",吉比特,移动互联网服务,=17312196981.31,=17.758547652282655,=3.340071013502555,=0.04144840841255854,2025-05-19,=124,=1.7118680898836502,=188,=0.09121104867082289,=380,=4918
="600814",杭州解百,百货,=6042568015.56,=28.63941007659654,=1.6208210964611263,=0.016666666666666666,2025-05-19,=125,=0.5503319296772134,=431,=0.13131588080284756,=141,=194
="002758",浙农股份,综合,=4812515529.77,=12.615051863200843,=1.0086653593967048,=0.032502708559046585,2025-05-19,=126,=0.44237278166546923,=534,=0.2289759132798718,=40,=230
="002395",双象股份,其他塑料制品,=4602466440,=8.826645012010903,=3.2218737134768447,=0.008741258741258742,2025-05-19,=127,=0.5452951913917101,=438,=0.131160119821403,=142,=83
="600583",海油工程,油气钻采服务,=22991044960,=10.32300093553837,=0.8869971770391073,=0.03865384616254519,2025-05-19,=128,=0.425488972206581,=563,=0.3301247998739743,=19,=469
="600461",洪城环境,水务,=12263680164.050001,=10.232734329552937,=1.2713835729110166,=0.04858605448392797,2025-05-19,=129,=0.6731642911622339,=345,=0.11062276711432935,=237,=542
="601083",锦江航运,航运,=16797677600,=13.40496079127732,=1.8736367875603748,=0.03066255778120185,2025-05-19,=130,=0.5024122824337794,=469,=0.1389550882306821,=114,=40
="002572",索菲亚,家具,=14532381704.76,=11.935461723060595,=1.9466274511051243,=0.06626905235255136,2025-05-19,=131,=0.6222075807369125,=377,=0.1160499292360275,=206,=8987
="600301",华锡有色,其他采掘,=12233855043.86,=17.83656643960981,=2.948298155508191,=0,2025-05-19,=132,=0.8494822985274374,=275,=0.09936054373819728,=308,=130
="002941",新疆交建,路桥施工,=7437092935.679999,=22.853317025419926,=2.1560095299381867,=0.013020812518748745,2025-05-19,=133,=1.2314388062263046,=215,=0.09214292979634207,=369,=195
="600120",浙江东方,多元金融,=20321519877.4,=19.270380074204304,=1.2889157762700076,=0.014117647058823528,2025-05-19,=134,=-0.5087039009622115,=44,=0.07713383873429705,=540,=248
="301061",匠心家居,家具,=12716819175.74,=16.820525331138846,=3.3719236687180567,=0.013123195682326658,2025-05-19,=135,=1.9469218819791851,=179,=0.08925815062774874,=406,=138
="603993",洛阳钼业,铜,=154579540050.61002,=10.03348260156603,=2.098120068971976,=0.03563088845303667,2025-05-19,=136,=0.45150413897314,=527,=0.18447329221541095,=64,=1468
="688253",英诺特,医疗器械,=4418516386.4800005,=22.53608739985071,=2.142297476451877,=0.017294626312538603,2025-05-19,=137,=3.525442432004584,=152,=0.08592022674621845,=439,=70
="600398",海澜之家,男装,=37461608308.799995,=16.97395028604937,=2.0874478949925717,=0.05256410256196705,2025-05-19,=138,=0.9269796494396437,=260,=0.09644886746522824,=334,=3016
="601038",一拖股份,农用机械,=14809644724.5,=17.37964625389238,=1.9015780349746096,=0.02272382397572079,2025-05-19,=139,=-1.7102795537169933,=80,=0.07904697760177931,=517,=277
="002251",步步高,超市,=16293520115.339998,=12.43298880479702,=2.0309823953663617,=0,2025-05-19,=140,=-0.8252702495036106,=61,=0.07753065173689376,=536,=212
="300226",上海钢联,互联网信息服务,=6661277719.799999,=40.60030432075646,=3.2649661360616498,=0,2025-05-19,=141,=1.267278697094242,=211,=0.09075454097985916,=389,=283
="002588",史丹利,复合肥,=10044498065.6,=11.469254874938386,=1.4098233717217727,=0.02981651376146789,2025-05-19,=142,=0.521530717610355,=453,=0.12839130681556976,=150,=231
="601019",山东出版,平面媒体,=22684603000,=16.40672591457862,=1.4845383497982914,=0.028518859245630176,2025-05-19,=143,=0.602078953281865,=390,=0.11518817289899752,=213,=572
="002024",ST易购,专业连锁,=17695706150.38,=24.392999234094525,=1.4026229826461363,=0,2025-05-19,=144,=2.8091977600031957,=163,=0.0859020071695889,=440,=1877
="301317",鑫磊股份,其它通用机械,=5753154000,=13.275006183511417,=3.9890018293788256,=0.007957486797676544,2025-05-19,=145,=0.8829579955183723,=269,=0.09581462146291768,=339,=13
="605338",巴比食品,食品综合,=4717067574.780001,=17.205219745897978,=2.244483892531268,=0.0406297613849508,2025-05-19,=146,=0.7518948081408794,=303,=0.09974215611597421,=306,=286
="600690",海尔智家,冰箱,=241328530950.47998,=12.4045960567634,=2.0495457118842415,=0.0375194401244168,2025-05-19,=147,=0.6696350316542307,=349,=0.1065794186926884,=262,=42767
="603299",苏盐井神,氯碱,=7615987184.06,=10.822944080449625,=1.2222467786203635,=0.045484872885819566,2025-05-19,=148,=0.49579851090268134,=480,=0.13316893275365557,=136,=306
="688819",天能股份,储能设备,=26752192000,=18.169166069312304,=1.6422365655166287,=0.014898255813953489,2025-05-19,=149,=0.6160528153281648,=383,=0.11067253093814274,=236,=234
="600809",山西汾酒,白酒,=244114840822.19998,=19.33117107177839,=6.358303568010086,=0.03028485757072282,2025-05-19,=150,=-17.563339656888477,=116,=0.07966909549577779,=504,=5126
="002264",新华都,营销服务,=4823060405.400001,=18.580385864977632,=2.462141373863285,=0,2025-05-19,=151,=1.08272160430525,=233,=0.09038228829133296,=392,=126
="603855",华荣股份,其它专用机械,=6824836380,=13.833255246029065,=3.590602507275619,=0.04945598417408507,2025-05-19,=152,=0.8299020254158523,=278,=0.0942354302921558,=349,=378
="688036",传音控股,电子系统组装,=88160502953.25,=19.979411649499514,=4.244673573022234,=0.03880481180233426,2025-05-19,=153,=-1.9317451578269431,=84,=0.07700932101885842,=543,=1035
